OBJECTID,UPlCodigo,UPlNombre,SHAPE_Leng,LocNombre,LocCodigo,idred,RedIntregr,SHAPE_Le_1,SHAPE_Area
226,UPZ54,MARRUECOS,0.07917853,TUNJUELITO,6,1,Territorio Red Sur,0.07917853,0.00029549
227,UPZ39,QUIROGA,0.085462,TUNJUELITO,6,1,Territorio Red Sur,0.085462,0.00030575
228,UPZ62,TUNJUELITO,0.09174657,TUNJUELITO,6,1,Territorio Red Sur,0.09174657,0.00026647
229,UPZ53,MARCO FIDEL SUAREZ,0.05669328,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.05669328,0.00015026
230,UPZ69,ISMAEL PERDOMO,0.09475742,BOSA,7,2,Territorio Red Sur Occidente,0.09475742,0.00045592
231,UPZ61,CIUDAD USME,0.24488713,USME,5,1,Territorio Red Sur,0.24488713,0.00075019
232,UPZ42,VENECIA,0.15120994,TUNJUELITO,6,1,Territorio Red Sur,0.15120994,0.00054056
236,1,UPR ZONA NORTE,0.61363375,SUBA,11,4,Territorio Red Norte,0.61363375,0.00305714
237,UPZ100,GALERIAS,0.06056277,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.06056277,0.00019347
238,UPZ83,LAS MARGARITAS,0.05809272,KENNEDY,8,2,Territorio Red Sur Occidente,0.05809272,0.00011991
239,UPZ107,QUINTA PAREDES,0.05957581,TEUSAQUILLO,13,4,Territorio Red Norte,0.05957581,0.00014166
240,UPZ101,TEUSAQUILLO,0.06356544,TEUSAQUILLO,13,4,Territorio Red Norte,0.06356544,0.00019194
241,UPZ91,SAGRADO CORAZON,0.06491195,TEUSAQUILLO,13,4,Territorio Red Norte,0.06491195,0.00011951
242,UPZ81,GRAN BRITALIA,0.06921748,KENNEDY,8,2,Territorio Red Sur Occidente,0.06921748,0.0001465
243,UPZ108,ZONA INDUSTRIAL,0.07101292,TEUSAQUILLO,13,4,Territorio Red Norte,0.07101292,0.00028254
244,UPZ75,FONTIBON,0.07824012,FONTIBON,9,2,Territorio Red Sur Occidente,0.07824012,0.00040432
245,UPZ22,DOCE DE OCTUBRE,0.06905636,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.06905636,0.00027384
246,UPZ114,MODELIA,0.06636463,FONTIBON,9,2,Territorio Red Sur Occidente,0.06636463,0.00021303
247,UPZ103,PARQUE SALITRE,0.05404711,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.05404711,0.00013457
248,UPZ105,JARDIN BOTANICO,0.04717506,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.04717506,0.00013169
249,UPZ88,EL REFUGIO,0.11952914,USAQUEN,1,4,Territorio Red Norte,0.11952914,0.00027362
